PRCP       082068 19090101 20180131 missing_value=99999.9 MITTA MITTA FORESTRY                      
20050801 20050831   189.8
20050901 20050930   173.2
20051001 20051031    90.6
20051101 20051130    64.4
20051201 20051231    52.0
20060101 20060131    19.2
20060201 20060228    11.8
20060301 20060331    51.0
20060401 20060430    34.8
20060501 20060531    56.0
20060601 20060630    41.8
20060701 20060731    58.6
20060801 20060831    30.0
20060901 20060930    35.4
20061001 20061031     7.0
20061101 20061130    50.0
20061201 20061231    11.8
20070101 20070131    42.8
20070201 20070228    42.0
20070301 20070331    59.6
20070401 20070430    39.4
20070501 20070531   103.4
20070601 20070630    44.4
20070701 20070731   136.2
20070801 20070831    40.2
20070901 20070930    33.6
20071001 20071031    27.2
20071101 20071130    87.6
20071201 20071231   109.6
20080101 20080131    85.6
20080201 20080229    75.8
20080301 20080331    43.6
20080401 20080430    40.6
20080501 20080531    35.6
20080601 20080630    40.2
20080701 20080731   149.2
20080801 20080831    79.6
20080901 20080930    47.4
20081001 20081031    11.6
20081101 20081130    95.6
20081201 20081231    60.2
20090101 20090131    41.8
20090201 20090228     1.8
20090301 20090331    29.0
20090401 20090430   101.8
20090501 20090531    32.0
20090601 20090630    68.2
20090701 20090731   101.8
20090801 20090831   110.0
20090901 20090930   121.8
20091001 20091031    66.4
20091101 20091130    97.2
20091201 20091231    21.6
20100101 20100131    97.8
20100201 20100228    87.8
20100301 20100331   112.6
20100401 20100430    89.4
20100501 20100531    54.4
20100601 20100630    75.2
20100701 20100731   104.0
20100801 20100831   172.0
20100901 20100930   124.2
20101001 20101031   198.0
20101101 20101130   139.0
20101201 20101231   152.4
20110101 20110131   122.4
20110201 20110228   293.8
20110301 20110331    71.0
20110401 20110430    51.0
20110501 20110531    48.2
20110601 20110630    68.0
20110701 20110731   114.6
20110801 20110831    93.0
20110901 20110930    85.0
20111001 20111031    43.2
20111101 20111130   151.4
20111201 20111231    40.6
20120101 20120131    78.0
20120201 20120229    87.6
20120301 20120331   257.0
20120401 20120430    36.8
20120501 20120531    59.7
20120601 20120630    76.6
20120701 20120731   117.8
20120801 20120831   124.8
20120901 20120930    42.4
20121001 20121031    52.0
20121101 20121130    78.8
20121201 20121231    51.4
20130101 20130131    12.4
20130201 20130228    51.0
20130301 20130331   100.6
20130401 20130430    43.6
20130501 20130531    99.6
20130601 20130630    92.6
20130701 20130731   154.8
20130801 20130831   165.2
20130901 20130930    76.2
20131001 20131031    50.0
20131101 20131130    18.4
20131201 20131231    66.4
20140101 20140131    44.2
20140201 20140228    36.0
20140301 20140331    94.4
20140401 20140430    84.8
20140501 20140531   111.6
20140601 20140630   183.0
20140701 20140731   101.0
20140801 20140831    18.0
20140901 20140930    90.0
20141001 20141031    30.8
20141101 20141130    76.6
20141201 20141231    92.8
20150101 20150131    97.2
20150201 20150228    42.4
20150301 20150331     8.4
20150401 20150430   108.8
20150501 20150531   101.6
20150601 20150630    39.6
20150701 20150731    98.8
20150801 20150831    96.8
20150901 20150930    23.2
20151001 20151031    67.6
20151101 20151130    88.4
20151201 20151231    60.8
20160101 20160131   151.2
20160201 20160229    31.0
20160301 20160331    62.0
20160401 20160430    19.8
20160501 20160531   201.6
20160601 20160630   148.8
20160701 20160731   199.6
20160801 20160831   128.8
20160901 20160930   198.8
20161001 20161031   180.0
20161101 20161130    62.0
20161201 20161231    86.8
20170101 20170131    84.4
20170201 20170228    28.6
20170301 20170331    40.8
20170401 20170430   116.0
20170501 20170531    48.0
20170601 20170630     6.8
20170701 20170731    99.5
20170801 20170831   173.0
20170901 20170930    59.2
20171001 20171031   115.0
20171101 20171130    90.2
20171201 20171231   162.8
20180101 20180131    52.0
