PRCP       013006 19200101 20171231 missing_value=99999.9 MILLROSE                                  
20160801 20160831     6.8
20160901 20160930     0.0
20161001 20161031     0.0
20161101 20161130     0.0
20161201 20161231     3.0
20170101 20170131    76.4
20170201 20170228    32.4
20170301 20170331   181.3
20170401 20170430    25.4
20170501 20170531     0.0
20170601 20170630    16.6
20170701 20170731     0.0
20170801 20170831    16.2
20170901 20170930    10.0
20171001 20171031    24.4
20171101 20171130    37.6
20171201 20171231    24.8
